Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
300.0	0.6	32.0	32.0	32	1	1	1
1200.0	1.2	32.0	8.0	32	1	1	1
1440.0	10.0	8.0	1.0	32	1	1	2
960.0	9.7	28.0	11.0	32	1	1	3
600.0	1.5	32.0	8.0	32	2	1	17
300.0	1.4	8.0	32.0	32	2	1	17
600.0	1.2	32.0	32.0	32	2	1	18
600.0	1.9	28.0	8.0	32	2	1	18
240.0	1.0	32.0	28.0	32	2	1	19
720.0	2.2	33.0	8.0	32	3	1	17
600.0	1.6	28.0	8.0	32	3	1	18
300.0	0.5	8.0	32.0	32	3	1	18
1260.0	8.0	32.0	39.0	32	3	1	18
1260.0	6.4	41.0	44.0	32	3	1	19
600.0	1.7	33.0	32.0	32	4	1	15
480.0	1.3	8.0	8.0	32	4	1	16
720.0	1.1	8.0	32.0	32	4	1	17
240.0	0.5	32.0	8.0	32	4	1	17
660.0	1.1	28.0	32.0	32	4	1	18
300.0	0.8	32.0	8.0	32	4	1	18
420.0	0.8	32.0	8.0	32	4	1	19
840.0	3.5	8.0	7.0	32	4	1	19
180.0	0.6	8.0	8.0	32	4	1	20
1140.0	2.0	28.0	8.0	32	5	1	16
480.0	1.4	8.0	8.0	32	5	1	18
300.0	0.7	8.0	8.0	32	5	1	18
300.0	0.6	8.0	8.0	32	5	1	19
360.0	1.1	8.0	32.0	32	5	1	19
420.0	0.8	8.0	8.0	32	5	1	20
120.0	0.5	32.0	8.0	32	5	1	20
480.0	1.0	8.0	32.0	32	5	1	20
360.0	0.8	8.0	32.0	32	5	1	20
360.0	1.0	8.0	32.0	32	5	1	21
120.0	0.6	28.0	32.0	32	5	1	22
300.0	0.7	32.0	8.0	32	5	1	22
420.0	1.1	32.0	32.0	32	5	1	23
960.0	2.4	32.0	33.0	32	6	1	15
300.0	1.3	8.0	8.0	32	6	1	17
780.0	3.8	8.0	24.0	32	6	1	18
540.0	2.3	24.0	7.0	32	6	1	19
420.0	1.4	8.0	32.0	32	6	1	19
840.0	2.3	32.0	8.0	32	6	1	20
240.0	0.9	8.0	32.0	32	7	1	17
720.0	1.8	8.0	28.0	32	7	1	17
1020.0	3.6	8.0	7.0	32	7	1	17
420.0	1.1	8.0	32.0	32	7	1	18
480.0	2.7	8.0	8.0	32	7	1	21
780.0	4.6	8.0	6.0	32	7	1	21
420.0	0.9	8.0	32.0	32	8	1	17
180.0	0.5	32.0	8.0	32	8	1	18
780.0	1.1	8.0	8.0	32	8	1	18
420.0	1.0	8.0	8.0	32	8	1	19
840.0	4.7	8.0	7.0	32	8	1	20
420.0	1.2	32.0	8.0	32	8	1	21
300.0	1.4	28.0	8.0	32	8	1	21
360.0	1.0	8.0	32.0	32	8	1	21
480.0	1.6	32.0	33.0	32	9	1	15
600.0	2.2	33.0	32.0	32	9	1	16
300.0	0.5	28.0	28.0	32	9	1	17
780.0	1.8	32.0	8.0	32	9	1	18
