Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
563.0	1.04	28.0	32.0	26	1	1	0
305.0	0.9	32.0	28.0	26	1	1	0
391.0	0.58	32.0	32.0	26	1	1	0
515.0	1.1	28.0	8.0	26	1	1	0
988.0	7.62	32.0	3.0	26	1	1	1
920.0	2.4	8.0	8.0	26	1	1	1
666.0	2.6	8.0	7.0	26	1	1	1
422.0	1.55	3.0	6.0	26	1	1	1
809.0	4.7	6.0	8.0	26	1	1	2
1269.0	6.8	7.0	31.0	26	1	1	2
979.0	5.66	8.0	22.0	26	1	1	2
989.0	7.6	28.0	6.0	26	1	1	2
613.0	4.4	6.0	77.0	26	1	1	3
343.0	0.68	8.0	8.0	26	1	1	3
481.0	2.0	3.0	6.0	26	1	1	3
396.0	1.3	6.0	6.0	26	1	1	3
306.0	1.17	8.0	8.0	26	1	1	4
197.0	0.7	6.0	6.0	26	1	1	4
196.0	0.6	6.0	6.0	26	1	1	4
481.0	2.52	8.0	7.0	26	1	1	4
789.0	7.76	8.0	39.0	26	1	1	9
1385.0	17.95	8.0	76.0	26	1	1	9
641.0	7.09	8.0	77.0	26	1	1	11
1770.0	18.83	76.0	28.0	26	1	1	13
1986.0	13.15	76.0	77.0	26	1	1	15
1282.0	17.81	76.0	8.0	26	1	1	21
331.0	0.84	32.0	8.0	26	1	1	22
437.0	1.35	32.0	8.0	26	1	1	22
1234.0	15.19	76.0	24.0	26	1	1	23
217.0	0.75	24.0	22.0	26	2	1	0
1492.0	14.1	76.0	6.0	26	2	1	0
525.0	3.35	8.0	6.0	26	2	1	1
286.0	1.17	6.0	6.0	26	2	1	1
494.0	2.41	3.0	1.0	26	2	1	2
638.0	2.95	3.0	14.0	26	2	1	2
325.0	1.43	22.0	24.0	26	2	1	3
566.0	2.21	8.0	32.0	26	2	1	6
411.0	1.12	8.0	8.0	26	2	1	7
170.0	0.68	8.0	32.0	26	2	1	8
664.0	1.51	28.0	32.0	26	2	1	8
422.0	0.68	28.0	32.0	26	2	1	9
344.0	0.67	32.0	8.0	26	2	1	9
588.0	1.25	28.0	8.0	26	2	1	10
516.0	1.26	8.0	8.0	26	2	1	10
231.0	0.68	8.0	8.0	26	2	1	10
1492.0	17.02	76.0	8.0	26	2	1	11
364.0	1.02	32.0	8.0	26	2	1	11
721.0	1.53	8.0	32.0	26	2	1	11
479.0	1.0	32.0	32.0	26	2	1	12
633.0	1.18	32.0	8.0	26	2	1	12
574.0	1.14	8.0	8.0	26	2	1	12
530.0	1.78	8.0	8.0	26	2	1	13
638.0	1.63	8.0	32.0	26	2	1	13
245.0	0.52	32.0	32.0	26	2	1	13
178.0	0.54	32.0	32.0	26	2	1	13
477.0	1.39	32.0	8.0	26	2	1	14
479.0	1.01	8.0	32.0	26	2	1	15
334.0	0.93	28.0	32.0	26	2	1	15
755.0	1.58	32.0	32.0	26	2	1	15
2329.0	16.02	76.0	8.0	26	2	1	15
505.0	3.33	76.0	76.0	26	2	1	18
1330.0	13.95	76.0	22.0	26	2	1	19
1361.0	16.53	76.0	8.0	26	2	1	19
2095.0	24.68	76.0	41.0	26	2	1	19
836.0	3.42	28.0	7.0	26	2	1	20
1110.0	11.76	76.0	5.0	26	2	1	22
315.0	0.61	28.0	32.0	26	3	1	7
405.0	1.19	28.0	28.0	26	3	1	8
533.0	1.16	28.0	32.0	26	3	1	9
265.0	0.83	32.0	32.0	26	3	1	10
350.0	0.77	32.0	32.0	26	3	1	10
580.0	1.86	8.0	32.0	26	3	1	10
402.0	0.94	8.0	8.0	26	3	1	11
538.0	1.28	8.0	8.0	26	3	1	13
566.0	1.45	32.0	28.0	26	3	1	14
2797.0	17.86	76.0	32.0	26	3	1	14
571.0	1.96	28.0	33.0	26	3	1	14
1174.0	1.53	8.0	28.0	26	3	1	17
537.0	1.36	28.0	28.0	26	3	1	17
1989.0	15.33	76.0	6.0	26	3	1	20
459.0	1.12	6.0	7.0	26	3	1	21
521.0	1.21	32.0	8.0	26	3	1	21
416.0	1.7	32.0	35.0	26	3	1	22
261.0	0.78	32.0	8.0	26	3	1	23
290.0	1.37	32.0	33.0	26	4	1	0
1169.0	8.81	33.0	16.0	26	4	1	0
