Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
730.0	3.7	58.0	58.0	33	1	1	1
960.0	4.0	58.0	58.0	33	1	1	1
438.0	1.3	58.0	58.0	33	1	1	2
577.0	1.5	1.0	2.0	33	1	1	10
1837.0	20.5	31.0	33.0	33	2	1	0
2429.0	17.6	8.0	76.0	33	2	1	7
1535.0	11.8	76.0	22.0	33	2	1	13
536.0	1.4	28.0	32.0	33	2	1	15
375.0	0.6	32.0	32.0	33	2	1	15
444.0	1.2	28.0	8.0	33	2	1	16
441.0	0.5	28.0	28.0	33	2	1	16
438.0	0.9	8.0	28.0	33	2	1	16
1094.0	2.3	32.0	7.0	33	2	1	17
495.0	1.3	28.0	32.0	33	2	1	17
892.0	5.5	32.0	3.0	33	2	1	18
1570.0	13.1	56.0	8.0	33	2	1	19
905.0	10.6	56.0	24.0	33	3	1	0
1924.0	15.3	56.0	7.0	33	3	1	0
229.0	0.7	28.0	32.0	33	3	1	6
396.0	0.6	8.0	8.0	33	3	1	6
377.0	0.8	8.0	8.0	33	3	1	7
564.0	1.7	32.0	32.0	33	3	1	7
523.0	1.4	8.0	8.0	33	3	1	8
339.0	0.7	32.0	32.0	33	3	1	8
271.0	0.6	8.0	32.0	33	3	1	8
448.0	0.6	28.0	32.0	33	3	1	8
582.0	1.5	7.0	6.0	33	3	1	8
894.0	1.8	28.0	32.0	33	3	1	9
730.0	1.6	32.0	32.0	33	3	1	9
640.0	1.9	32.0	24.0	33	3	1	9
423.0	0.9	28.0	8.0	33	3	1	10
463.0	0.7	28.0	32.0	33	3	1	10
351.0	1.0	8.0	32.0	33	3	1	11
452.0	0.8	8.0	8.0	33	3	1	11
299.0	0.6	33.0	33.0	33	3	1	16
358.0	0.9	32.0	8.0	33	3	1	17
1839.0	17.3	8.0	76.0	33	3	1	17
1812.0	13.8	56.0	8.0	33	3	1	19
1115.0	5.0	28.0	7.0	33	3	1	20
1399.0	16.3	76.0	24.0	33	3	1	21
1232.0	15.9	56.0	16.0	33	4	1	0
1385.0	6.7	6.0	15.0	33	4	1	1
469.0	0.8	8.0	32.0	33	4	1	8
460.0	1.2	8.0	8.0	33	4	1	9
1403.0	12.6	32.0	56.0	33	4	1	9
682.0	1.6	28.0	8.0	33	4	1	9
1520.0	11.0	1.0	28.0	33	4	1	11
1290.0	6.4	28.0	6.0	33	4	1	12
637.0	1.3	8.0	32.0	33	4	1	13
581.0	1.4	28.0	32.0	33	4	1	14
1236.0	2.8	8.0	33.0	33	4	1	15
1425.0	13.4	56.0	24.0	33	4	1	21
1102.0	9.8	76.0	14.0	33	5	1	0
228.0	0.6	8.0	8.0	33	5	1	1
265.0	1.2	8.0	8.0	33	5	1	1
838.0	2.9	8.0	32.0	33	5	1	1
252.0	1.1	8.0	8.0	33	5	1	2
397.0	3.8	8.0	32.0	33	5	1	2
292.0	0.6	8.0	8.0	33	5	1	2
1432.0	17.2	76.0	8.0	33	5	1	6
1427.0	13.4	8.0	56.0	33	5	1	7
1185.0	16.9	32.0	76.0	33	5	1	7
1068.0	10.5	56.0	33.0	33	5	1	10
471.0	1.4	8.0	28.0	33	5	1	10
718.0	1.7	28.0	8.0	33	5	1	11
561.0	1.5	32.0	8.0	33	5	1	11
375.0	0.7	32.0	32.0	33	5	1	12
332.0	0.5	32.0	32.0	33	5	1	13
765.0	1.5	8.0	8.0	33	5	1	16
1734.0	16.7	76.0	8.0	33	5	1	17
629.0	2.2	8.0	24.0	33	5	1	17
559.0	1.3	8.0	8.0	33	5	1	19
344.0	1.0	8.0	8.0	33	5	1	21
372.0	1.2	8.0	8.0	33	5	1	21
1179.0	9.7	28.0	28.0	33	6	1	0
504.0	1.9	28.0	28.0	33	6	1	2
610.0	3.5	28.0	28.0	33	6	1	2
381.0	3.4	28.0	28.0	33	6	1	2
535.0	1.3	7.0	7.0	33	6	1	14
542.0	1.7	8.0	28.0	33	6	1	15
594.0	1.2	28.0	8.0	33	6	1	16
549.0	2.4	28.0	28.0	33	6	1	17
411.0	1.2	32.0	8.0	33	6	1	18
255.0	0.8	32.0	32.0	33	6	1	19
633.0	1.9	7.0	6.0	33	6	1	20
732.0	5.5	32.0	6.0	33	6	1	21
461.0	1.8	32.0	31.0	33	6	1	23
943.0	6.9	32.0	6.0	33	6	1	23
1886.0	18.7	76.0	33.0	33	7	1	0
224.0	0.6	8.0	32.0	33	7	1	1
558.0	2.1	8.0	8.0	33	7	1	2
567.0	2.6	24.0	22.0	33	7	1	6
1392.0	11.5	22.0	58.0	33	7	1	6
130.0	0.6	27.0	27.0	33	7	1	6
545.0	1.6	8.0	28.0	33	7	1	7
1009.0	2.8	24.0	32.0	33	7	1	7
303.0	0.7	28.0	32.0	33	7	1	7
240.0	0.9	28.0	28.0	33	7	1	7
266.0	0.6	28.0	32.0	33	7	1	7
657.0	1.5	32.0	8.0	33	7	1	7
307.0	0.6	32.0	32.0	33	7	1	7
222.0	0.5	28.0	28.0	33	7	1	8
838.0	1.9	8.0	32.0	33	7	1	8
148.0	0.6	8.0	8.0	33	7	1	8
300.0	0.6	32.0	28.0	33	7	1	8
180.0	0.5	32.0	32.0	33	7	1	8
1048.0	6.9	28.0	21.0	33	7	1	8
860.0	1.4	28.0	8.0	33	7	1	8
192.0	0.5	8.0	8.0	33	7	1	9
358.0	0.6	8.0	8.0	33	7	1	9
725.0	1.9	8.0	32.0	33	7	1	9
493.0	1.4	8.0	8.0	33	7	1	10
477.0	0.9	8.0	32.0	33	7	1	10
465.0	0.6	28.0	32.0	33	7	1	10
317.0	0.6	32.0	32.0	33	7	1	10
1317.0	1.9	28.0	8.0	33	7	1	10
730.0	1.6	8.0	32.0	33	7	1	13
645.0	1.3	28.0	8.0	33	7	1	14
526.0	1.2	28.0	32.0	33	7	1	14
628.0	1.5	8.0	32.0	33	7	1	15
530.0	1.4	8.0	24.0	33	7	1	17
617.0	1.4	8.0	8.0	33	7	1	17
415.0	1.0	8.0	32.0	33	7	1	18
886.0	1.9	28.0	28.0	33	7	1	19
380.0	1.0	32.0	28.0	33	7	1	19
423.0	1.2	32.0	8.0	33	7	1	20
432.0	1.2	32.0	8.0	33	7	1	20
558.0	1.8	32.0	8.0	33	7	1	21
560.0	2.2	32.0	8.0	33	7	1	22
639.0	2.0	8.0	32.0	33	8	1	5
556.0	1.4	28.0	32.0	33	8	1	6
471.0	2.5	24.0	32.0	33	8	1	6
341.0	0.8	8.0	8.0	33	8	1	6
1035.0	5.5	28.0	7.0	33	8	1	7
484.0	1.6	8.0	8.0	33	8	1	7
327.0	0.9	8.0	32.0	33	8	1	7
667.0	1.3	8.0	32.0	33	8	1	7
543.0	2.2	8.0	24.0	33	8	1	8
