Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
872.0	5.85	14.0	24.0	31	1	1	1
352.0	2.25	24.0	28.0	31	1	1	1
473.0	1.44	28.0	8.0	31	1	1	1
540.0	2.25	8.0	7.0	31	1	1	1
476.0	1.58	7.0	6.0	31	1	1	2
467.0	2.5	7.0	28.0	31	1	1	2
246.0	0.75	28.0	28.0	31	1	1	2
141.0	0.88	28.0	28.0	31	1	1	2
497.0	1.07	28.0	8.0	31	1	1	3
238.0	0.5	8.0	8.0	31	1	1	3
1168.0	7.79	8.0	4.0	31	1	1	3
1706.0	16.47	8.0	70.0	31	1	1	6
446.0	4.78	22.0	8.0	31	1	1	11
431.0	1.4	32.0	8.0	31	1	1	11
1393.0	15.92	76.0	7.0	31	1	1	12
610.0	1.96	28.0	8.0	31	1	1	12
269.0	0.72	8.0	8.0	31	1	1	12
1445.0	9.38	8.0	13.0	31	1	1	12
369.0	1.28	22.0	22.0	31	1	1	13
4334.0	31.1	76.0	8.0	31	1	1	16
796.0	2.36	15.0	15.0	31	1	1	17
1076.0	10.88	76.0	4.0	31	1	1	20
1412.0	16.36	76.0	8.0	31	1	1	21
889.0	10.68	56.0	33.0	31	1	1	23
908.0	11.62	56.0	8.0	31	2	1	1
630.0	8.38	16.0	28.0	31	2	1	2
200.0	1.26	22.0	24.0	31	2	1	3
600.0	4.91	16.0	24.0	31	2	1	3
445.0	1.5	28.0	32.0	31	2	1	11
207.0	0.66	28.0	8.0	31	2	1	12
1854.0	17.77	76.0	8.0	31	2	1	12
295.0	0.63	8.0	8.0	31	2	1	13
621.0	1.7	8.0	32.0	31	2	1	13
223.0	0.67	32.0	28.0	31	2	1	15
842.0	2.78	28.0	33.0	31	2	1	15
635.0	1.12	32.0	32.0	31	2	1	16
252.0	0.5	32.0	32.0	31	2	1	16
307.0	0.7	32.0	28.0	31	2	1	16
510.0	0.9	8.0	32.0	31	2	1	16
1028.0	2.17	32.0	8.0	31	2	1	17
448.0	2.1	32.0	28.0	31	2	1	17
694.0	1.7	28.0	32.0	31	2	1	17
413.0	0.9	32.0	8.0	31	2	1	17
328.0	0.6	32.0	32.0	31	2	1	17
714.0	1.7	32.0	8.0	31	2	1	18
664.0	3.2	8.0	7.0	31	2	1	19
293.0	0.7	8.0	8.0	31	2	1	19
1602.0	17.66	76.0	8.0	31	2	1	19
526.0	4.7	8.0	3.0	31	2	1	19
1725.0	13.9	76.0	77.0	31	2	1	23
226.0	1.17	4.0	2.0	31	3	1	0
596.0	3.91	16.0	15.0	31	3	1	1
1499.0	10.72	28.0	61.0	31	3	1	7
606.0	2.36	33.0	28.0	31	3	1	8
