Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
4200.0	17.3	76.0	8.0	52	19	7	15
3660.0	14.2	76.0	77.0	52	19	7	15
300.0	1.1	32.0	28.0	52	19	7	15
360.0	1.4	8.0	8.0	52	19	7	16
240.0	0.6	8.0	32.0	52	19	7	16
600.0	0.9	32.0	8.0	52	19	7	16
600.0	1.1	8.0	32.0	52	19	7	17
480.0	0.7	32.0	8.0	52	19	7	18
420.0	0.8	8.0	32.0	52	19	7	18
360.0	0.8	28.0	32.0	52	19	7	18
4320.0	17.4	76.0	8.0	52	19	7	18
360.0	0.8	32.0	28.0	52	19	7	18
420.0	1.1	32.0	24.0	52	19	7	19
840.0	2.5	28.0	32.0	52	19	7	19
180.0	0.5	32.0	8.0	52	19	7	19
960.0	2.1	28.0	8.0	52	19	7	20
720.0	1.3	8.0	8.0	52	19	7	20
1380.0	13.0	76.0	22.0	52	19	7	20
840.0	5.2	76.0	10.0	52	19	7	21
480.0	1.6	28.0	8.0	52	19	7	21
1200.0	10.4	76.0	14.0	52	19	7	22
480.0	1.5	28.0	32.0	52	19	7	23
2580.0	12.6	76.0	3.0	52	19	7	23
660.0	2.0	32.0	7.0	52	19	7	23
540.0	1.8	8.0	24.0	52	19	7	23
1620.0	14.2	76.0	6.0	52	20	7	7
1860.0	17.9	76.0	32.0	52	20	7	10
2520.0	16.9	76.0	28.0	52	20	7	13
2280.0	16.7	76.0	8.0	52	20	7	15
660.0	2.5	28.0	7.0	52	20	7	16
2940.0	17.8	76.0	8.0	52	20	7	16
300.0	0.7	8.0	7.0	52	20	7	17
1200.0	3.4	8.0	7.0	52	20	7	18
540.0	1.2	8.0	8.0	52	20	7	18
540.0	1.4	28.0	32.0	52	20	7	19
420.0	1.5	28.0	8.0	52	20	7	21
480.0	1.4	28.0	28.0	52	20	7	22
2700.0	18.6	76.0	32.0	52	20	7	23
840.0	4.5	8.0	7.0	52	21	7	3
660.0	2.8	7.0	24.0	52	21	7	4
420.0	1.0	8.0	8.0	52	21	7	4
