Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
1200.0	15.6	76.0	8.0	38	1	1	10
1620.0	12.9	56.0	8.0	38	1	1	13
2460.0	16.4	76.0	8.0	38	2	1	17
960.0	10.5	56.0	28.0	38	2	1	20
1320.0	9.6	56.0	28.0	38	3	1	16
1320.0	11.5	56.0	24.0	38	3	1	20
1920.0	13.9	76.0	2.0	38	4	1	13
600.0	2.5	56.0	64.0	38	4	1	18
1800.0	12.9	56.0	8.0	38	4	1	19
960.0	9.1	76.0	16.0	38	5	1	19
3180.0	31.1	76.0	46.0	38	5	1	21
1560.0	16.6	76.0	7.0	38	6	1	12
180.0	0.5	8.0	8.0	38	6	1	13
780.0	5.5	76.0	10.0	38	7	1	11
1740.0	14.4	76.0	6.0	38	7	1	11
1860.0	7.6	56.0	71.0	38	7	1	17
1380.0	12.9	56.0	8.0	38	7	1	20
2580.0	20.2	76.0	33.0	38	8	1	12
1980.0	13.0	56.0	24.0	38	8	1	17
1680.0	14.9	56.0	6.0	38	8	1	21
1380.0	17.9	76.0	32.0	38	9	1	11
1200.0	11.9	56.0	8.0	38	9	1	15
1680.0	17.6	76.0	8.0	38	10	1	12
2280.0	13.8	56.0	8.0	38	10	1	17
1680.0	18.0	76.0	32.0	38	11	1	12
2220.0	30.6	56.0	76.0	38	11	1	16
300.0	2.3	76.0	76.0	38	11	1	19
2100.0	21.9	76.0	35.0	38	11	1	19
1560.0	17.9	76.0	8.0	38	13	1	12
1620.0	16.7	56.0	6.0	38	13	1	15
2160.0	18.0	76.0	32.0	38	14	1	10
1320.0	12.4	56.0	32.0	38	14	1	15
840.0	6.1	33.0	41.0	38	14	1	16
1920.0	17.5	56.0	6.0	38	14	1	19
1200.0	15.1	76.0	7.0	38	15	1	12
2160.0	7.9	56.0	41.0	38	15	1	17
1080.0	12.8	56.0	41.0	38	15	1	20
1440.0	14.7	76.0	7.0	38	16	1	12
1860.0	16.7	56.0	6.0	38	17	1	16
240.0	0.5	8.0	8.0	38	17	1	17
360.0	3.1	6.0	8.0	38	17	1	17
900.0	1.5	8.0	28.0	38	17	1	17
960.0	2.1	28.0	8.0	38	17	1	17
1260.0	2.3	8.0	28.0	38	17	1	18
1680.0	11.9	56.0	8.0	38	17	1	19
1680.0	15.5	76.0	7.0	38	18	1	11
600.0	2.3	6.0	5.0	38	18	1	12
5700.0	26.2	41.0	76.0	38	18	1	16
900.0	10.6	76.0	16.0	38	21	1	12
600.0	5.3	76.0	10.0	38	22	1	14
3060.0	17.8	76.0	32.0	38	22	1	16
2220.0	17.6	8.0	76.0	38	22	1	18
2040.0	17.1	76.0	28.0	38	23	1	10
1380.0	12.5	56.0	8.0	38	23	1	14
840.0	1.8	33.0	28.0	38	23	1	17
840.0	2.0	28.0	8.0	38	23	1	18
1800.0	17.8	76.0	8.0	38	24	1	14
1860.0	12.8	56.0	32.0	38	24	1	16
360.0	0.9	32.0	32.0	38	24	1	17
2100.0	13.7	56.0	22.0	38	24	1	19
1920.0	6.2	56.0	29.0	38	25	1	17
3240.0	14.0	56.0	8.0	38	25	1	19
2940.0	21.1	76.0	33.0	38	26	1	18
2040.0	14.3	56.0	7.0	38	26	1	21
1140.0	15.6	76.0	24.0	38	27	1	13
2040.0	14.6	56.0	6.0	38	27	1	16
2520.0	17.1	56.0	3.0	38	28	1	17
1380.0	17.6	76.0	32.0	38	29	1	12
1680.0	14.6	56.0	8.0	38	29	1	19
780.0	9.3	76.0	12.0	38	30	1	12
1320.0	13.2	76.0	4.0	38	30	1	14
720.0	3.7	6.0	77.0	38	30	1	15
480.0	4.1	8.0	7.0	38	30	1	16
1440.0	18.1	76.0	8.0	38	31	1	12
1620.0	18.0	76.0	32.0	38	31	1	17
600.0	1.5	32.0	24.0	38	31	1	18
1800.0	14.5	76.0	22.0	38	31	1	21
1680.0	8.5	56.0	72.0	38	1	2	14
3000.0	13.3	76.0	6.0	38	1	2	19
2040.0	12.2	76.0	4.0	38	2	2	19
1560.0	18.3	76.0	32.0	38	3	2	10
2760.0	18.1	76.0	32.0	38	4	2	10
1560.0	13.0	56.0	32.0	38	4	2	14
360.0	2.1	33.0	32.0	38	4	2	15
3780.0	22.0	33.0	76.0	38	4	2	17
1440.0	17.6	76.0	32.0	38	5	2	12
3240.0	16.7	76.0	28.0	38	5	2	17
1440.0	12.5	56.0	32.0	38	5	2	20
300.0	0.6	32.0	32.0	38	5	2	20
1860.0	17.9	76.0	32.0	38	6	2	11
3300.0	17.0	76.0	8.0	38	6	2	17
1320.0	10.9	56.0	33.0	38	6	2	20
3240.0	18.2	76.0	32.0	38	7	2	10
2040.0	7.4	56.0	41.0	38	7	2	16
480.0	1.5	33.0	32.0	38	7	2	17
360.0	0.5	32.0	28.0	38	7	2	17
540.0	0.8	28.0	28.0	38	7	2	18
1680.0	3.2	28.0	7.0	38	7	2	18
1620.0	12.7	56.0	8.0	38	7	2	20
360.0	0.7	8.0	8.0	38	7	2	21
2160.0	16.4	76.0	24.0	38	8	2	13
360.0	0.6	32.0	8.0	38	8	2	14
300.0	0.9	8.0	32.0	38	8	2	14
240.0	0.5	8.0	32.0	38	8	2	14
420.0	0.8	32.0	32.0	38	8	2	14
180.0	0.5	32.0	28.0	38	8	2	15
360.0	0.9	33.0	33.0	38	8	2	15
660.0	2.4	33.0	8.0	38	8	2	16
780.0	2.6	32.0	24.0	38	8	2	16
