Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
420.0	1.4	8.0	8.0	42	2	1	8
300.0	0.9	8.0	8.0	42	2	1	8
180.0	0.7	8.0	32.0	42	2	1	8
360.0	1.0	8.0	8.0	42	2	1	8
180.0	0.5	8.0	8.0	42	2	1	8
300.0	0.7	8.0	8.0	42	2	1	9
240.0	0.6	8.0	32.0	42	2	1	10
360.0	0.9	8.0	32.0	42	2	1	10
480.0	1.0	8.0	32.0	42	2	1	11
660.0	2.2	32.0	33.0	42	2	1	12
300.0	0.8	8.0	32.0	42	2	1	12
660.0	5.0	32.0	6.0	42	2	1	13
360.0	0.9	8.0	32.0	42	2	1	14
360.0	1.4	8.0	24.0	42	2	1	17
540.0	1.4	8.0	32.0	42	2	1	17
600.0	0.9	8.0	32.0	42	2	1	18
540.0	2.0	32.0	33.0	42	2	1	18
240.0	1.0	8.0	8.0	42	2	1	19
300.0	0.7	8.0	32.0	42	3	1	12
420.0	1.3	32.0	32.0	42	3	1	12
420.0	0.8	8.0	8.0	42	3	1	13
2100.0	17.4	8.0	76.0	42	3	1	14
1200.0	4.0	8.0	6.0	42	3	1	17
120.0	0.6	8.0	8.0	42	3	1	17
660.0	1.7	8.0	32.0	42	3	1	17
480.0	0.6	32.0	8.0	42	3	1	18
600.0	0.8	8.0	8.0	42	3	1	18
540.0	1.5	8.0	8.0	42	3	1	19
360.0	0.7	28.0	32.0	42	4	1	8
360.0	0.9	8.0	32.0	42	4	1	8
240.0	0.6	8.0	8.0	42	4	1	9
420.0	0.9	8.0	32.0	42	4	1	9
540.0	1.5	32.0	8.0	42	4	1	9
300.0	0.7	8.0	8.0	42	4	1	10
480.0	1.4	8.0	8.0	42	4	1	12
360.0	0.9	8.0	8.0	42	4	1	14
840.0	6.7	8.0	6.0	42	4	1	16
720.0	1.8	8.0	32.0	42	4	1	17
360.0	0.7	32.0	32.0	42	4	1	17
1080.0	2.9	8.0	7.0	42	4	1	18
600.0	1.1	8.0	28.0	42	4	1	19
180.0	1.1	10.0	10.0	42	5	1	14
840.0	5.2	8.0	5.0	42	5	1	16
240.0	0.6	32.0	32.0	42	5	1	18
360.0	1.0	32.0	8.0	42	5	1	18
540.0	1.8	8.0	7.0	42	6	1	14
300.0	0.9	8.0	8.0	42	6	1	15
720.0	2.5	8.0	32.0	42	6	1	15
300.0	0.8	32.0	32.0	42	6	1	15
420.0	1.9	32.0	8.0	42	6	1	16
600.0	1.8	8.0	7.0	42	6	1	17
480.0	1.7	8.0	8.0	42	6	1	17
480.0	1.0	8.0	32.0	42	7	1	8
600.0	1.4	8.0	8.0	42	7	1	9
420.0	0.8	8.0	32.0	42	7	1	9
240.0	0.6	32.0	8.0	42	7	1	10
180.0	0.6	8.0	8.0	42	7	1	10
720.0	1.7	8.0	32.0	42	7	1	11
360.0	0.9	8.0	8.0	42	7	1	12
360.0	1.0	8.0	8.0	42	7	1	12
240.0	0.8	8.0	32.0	42	7	1	13
300.0	0.7	8.0	32.0	42	7	1	13
480.0	0.6	8.0	32.0	42	7	1	14
420.0	0.9	8.0	32.0	42	7	1	15
360.0	1.1	8.0	8.0	42	7	1	16
1080.0	5.5	8.0	5.0	42	7	1	17
240.0	0.8	7.0	7.0	42	7	1	18
