Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
360.0	1.0	10.0	10.0	48	2	1	16
1560.0	13.9	76.0	6.0	48	6	1	21
2460.0	17.5	76.0	28.0	48	7	1	16
1740.0	14.7	76.0	6.0	48	7	1	21
1680.0	11.2	76.0	14.0	48	8	1	16
1380.0	14.3	76.0	7.0	48	8	1	20
540.0	1.6	32.0	8.0	48	8	1	21
360.0	1.4	77.0	77.0	48	9	1	12
240.0	1.2	7.0	8.0	48	9	1	13
300.0	0.6	8.0	32.0	48	9	1	14
360.0	0.8	32.0	32.0	48	9	1	14
960.0	2.6	32.0	28.0	48	9	1	16
420.0	0.9	8.0	32.0	48	9	1	17
420.0	0.7	32.0	8.0	48	9	1	17
480.0	1.0	8.0	8.0	48	9	1	18
1020.0	1.2	8.0	8.0	48	9	1	18
960.0	1.7	32.0	24.0	48	9	1	19
780.0	2.2	32.0	8.0	48	9	1	20
360.0	0.9	8.0	8.0	48	9	1	20
360.0	1.5	8.0	28.0	48	9	1	20
240.0	0.8	32.0	8.0	48	9	1	21
240.0	0.7	32.0	28.0	48	9	1	22
720.0	7.1	3.0	32.0	48	10	1	12
420.0	0.9	32.0	8.0	48	10	1	12
420.0	1.0	8.0	32.0	48	10	1	12
540.0	1.0	32.0	8.0	48	10	1	13
540.0	0.9	32.0	8.0	48	10	1	13
360.0	0.7	8.0	8.0	48	10	1	14
240.0	1.0	28.0	28.0	48	10	1	14
240.0	0.9	28.0	32.0	48	10	1	15
300.0	1.1	8.0	28.0	48	10	1	15
540.0	1.5	32.0	32.0	48	10	1	16
2340.0	18.0	32.0	76.0	48	10	1	16
2640.0	17.9	76.0	28.0	48	10	1	19
360.0	0.7	28.0	28.0	48	10	1	20
480.0	1.4	28.0	32.0	48	10	1	20
720.0	4.2	32.0	7.0	48	10	1	21
1140.0	13.9	76.0	22.0	48	10	1	22
840.0	3.4	7.0	24.0	48	11	1	13
720.0	4.0	22.0	8.0	48	11	1	13
1440.0	9.7	8.0	25.0	48	11	1	14
900.0	3.1	8.0	5.0	48	11	1	15
600.0	2.7	8.0	7.0	48	11	1	16
900.0	0.9	8.0	8.0	48	11	1	17
1200.0	1.7	8.0	28.0	48	11	1	18
1260.0	3.1	32.0	7.0	48	11	1	18
240.0	0.9	32.0	8.0	48	11	1	20
480.0	1.5	32.0	8.0	48	11	1	21
1800.0	17.9	76.0	32.0	48	13	1	17
1560.0	16.8	76.0	32.0	48	13	1	21
1620.0	17.6	76.0	32.0	48	20	1	19
1740.0	14.9	76.0	6.0	48	9	2	22
360.0	1.1	6.0	7.0	48	9	2	22
960.0	7.0	32.0	22.0	48	10	2	0
2040.0	18.1	76.0	32.0	48	10	2	15
600.0	2.1	32.0	8.0	48	10	2	16
1260.0	13.4	76.0	22.0	48	10	2	19
1860.0	16.0	76.0	24.0	48	10	2	22
1380.0	17.5	76.0	8.0	48	10	2	23
1440.0	17.1	76.0	28.0	48	11	2	21
420.0	1.2	32.0	8.0	48	11	2	22
300.0	1.0	8.0	32.0	48	11	2	23
840.0	3.0	32.0	28.0	48	11	2	23
180.0	0.6	32.0	8.0	48	11	2	23
1140.0	9.1	76.0	12.0	48	12	2	21
3180.0	14.8	76.0	7.0	48	13	2	19
1260.0	12.4	76.0	5.0	48	13	2	22
1560.0	17.9	76.0	8.0	48	24	2	13
240.0	0.6	8.0	8.0	48	24	2	13
1620.0	16.9	76.0	28.0	48	24	2	16
2160.0	17.8	76.0	8.0	48	24	2	18
1380.0	17.2	76.0	8.0	48	24	2	21
1380.0	17.4	76.0	28.0	48	25	2	11
1740.0	17.6	76.0	32.0	48	25	2	15
2520.0	17.5	76.0	8.0	48	25	2	18
720.0	5.1	76.0	9.0	48	25	2	21
1500.0	17.6	76.0	32.0	48	25	2	21
1560.0	17.3	76.0	32.0	48	26	2	11
600.0	4.4	76.0	10.0	48	26	2	15
2280.0	16.4	76.0	8.0	48	26	2	15
540.0	1.1	8.0	32.0	48	26	2	16
1920.0	15.7	76.0	7.0	48	26	2	20
1860.0	17.6	76.0	32.0	48	27	2	11
2760.0	18.5	76.0	32.0	48	27	2	15
2460.0	12.8	8.0	56.0	48	27	2	15
2340.0	11.2	56.0	22.0	48	27	2	18
2280.0	20.9	76.0	33.0	48	28	2	10
300.0	0.9	33.0	34.0	48	28	2	11
1440.0	12.8	56.0	8.0	48	28	2	14
3360.0	17.6	76.0	32.0	48	28	2	16
1140.0	6.0	32.0	6.0	48	28	2	17
2700.0	14.2	76.0	3.0	48	28	2	20
1800.0	19.7	76.0	33.0	48	1	3	12
1920.0	17.8	76.0	32.0	48	1	3	14
3600.0	16.8	76.0	8.0	48	1	3	16
2400.0	10.3	76.0	14.0	48	1	3	19
1980.0	17.6	76.0	32.0	48	1	3	20
2460.0	20.5	76.0	33.0	48	2	3	14
1740.0	17.7	76.0	8.0	48	2	3	22
1380.0	15.8	76.0	7.0	48	3	3	12
1800.0	17.8	76.0	32.0	48	3	3	15
1980.0	17.1	76.0	8.0	48	3	3	17
600.0	1.6	8.0	28.0	48	3	3	18
1920.0	16.3	76.0	8.0	48	3	3	20
1860.0	17.9	76.0	32.0	48	4	3	11
2100.0	17.4	76.0	8.0	48	5	3	14
3420.0	18.1	76.0	8.0	48	5	3	18
1260.0	16.3	76.0	28.0	48	5	3	22
1800.0	18.0	76.0	32.0	48	6	3	12
2940.0	15.6	76.0	28.0	48	6	3	17
1980.0	13.8	76.0	3.0	48	7	3	12
3120.0	14.8	76.0	6.0	48	7	3	16
540.0	4.3	76.0	10.0	48	8	3	13
1560.0	17.4	76.0	32.0	48	8	3	14
3420.0	17.4	76.0	8.0	48	8	3	18
1380.0	12.7	76.0	5.0	48	8	3	21
1860.0	17.2	76.0	28.0	48	9	3	19
1560.0	17.4	76.0	8.0	48	10	3	14
2280.0	14.7	76.0	24.0	48	10	3	20
1980.0	17.7	76.0	8.0	48	11	3	13
4020.0	16.4	76.0	8.0	48	11	3	17
1800.0	17.6	76.0	32.0	48	11	3	20
1800.0	16.8	76.0	28.0	48	12	3	12
2640.0	18.5	76.0	32.0	48	12	3	20
2280.0	17.7	76.0	32.0	48	13	3	14
3900.0	17.7	76.0	8.0	48	13	3	18
1860.0	16.1	76.0	6.0	48	13	3	21
2760.0	17.6	76.0	8.0	48	14	3	16
3180.0	17.6	76.0	8.0	48	14	3	19
1560.0	13.7	76.0	5.0	48	14	3	22
420.0	2.0	22.0	6.0	48	14	3	22
2220.0	17.1	76.0	8.0	48	15	3	11
3120.0	14.6	76.0	6.0	48	15	3	15
3060.0	18.0	76.0	32.0	48	16	3	13
2460.0	15.8	76.0	8.0	48	16	3	17
360.0	1.1	8.0	7.0	48	16	3	18
960.0	9.9	76.0	16.0	48	16	3	22
1860.0	17.2	76.0	8.0	48	17	3	13
2100.0	13.5	76.0	3.0	48	17	3	20
1800.0	17.2	76.0	32.0	48	18	3	11
2700.0	17.4	76.0	8.0	48	18	3	16
2220.0	17.2	76.0	8.0	48	18	3	20
3360.0	15.9	76.0	7.0	48	19	3	18
3540.0	18.6	76.0	32.0	48	20	3	10
1620.0	12.2	76.0	5.0	48	20	3	14
2520.0	17.2	76.0	8.0	48	20	3	17
2220.0	17.7	76.0	8.0	48	20	3	20
2160.0	13.5	76.0	3.0	48	21	3	13
3600.0	17.6	76.0	8.0	48	21	3	17
2220.0	16.8	76.0	28.0	48	21	3	20
480.0	2.3	28.0	24.0	48	21	3	21
2280.0	20.8	76.0	33.0	48	22	3	14
2580.0	17.5	76.0	28.0	48	23	3	15
1800.0	15.3	76.0	7.0	48	23	3	19
3000.0	16.8	76.0	6.0	48	24	3	15
